Caduceus version         : 1.00
Caduceus compilation date: Mon Nov 27 17:38:17 CET 2006
Bench execution date     : 29/11/2006
coqdep -I `coqc -where`/user-contrib -I coq coq/abs*_why.v > abs.depend
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqc -I coq coq/abs_spec_why.v
coqc -I coq coq/abs_why.v
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
swap.c:3: warning: function swap has side-effects but no 'assigns' clause given
generating Why code for function swap
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqdep -I `coqc -where`/user-contrib -I coq coq/swap*_why.v > swap.depend
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqc -I coq coq/swap_spec_why.v
coqc -I coq coq/swap_why.v
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
generating Why code for function index
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqdep -I `coqc -where`/user-contrib -I coq coq/search*_why.v > search.depend
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqc -I coq coq/search_spec_why.v
coqc -I coq coq/search_why.v
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
purse.c:69: warning: function test2 has side-effects but no 'assigns' clause given
generating Why code for function credit
generating Why code for function withdraw
generating Why code for function credit0
generating Why code for function withdraw0
generating Why code for function test1
generating Why code for function test2
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqdep -I `coqc -where`/user-contrib -I coq coq/purse*_why.v > purse.depend
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqc -I coq coq/purse_spec_why.v
coqc -I coq coq/purse_why.v
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[2]: Leaving directory `/home/marche/why/examples-c/tutorial'
for d in tutorial sorting g4 linked-lists schorr-waite; do make -C $d simplify; done
make[2]: Entering directory `/home/marche/why/examples-c/tutorial'
for f in max abs swap search purse ; do \
	  caduceus $f.c; \
	  make -f $f.makefile simplify; \
	done
generating Why code for function max
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/max_why.sx           : .. (2/0/0/0)
total           :   2
valid           :   2 (100%)
invalid         :   0 (  0%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.10 sec
total CPU time       : 0.06 sec
valid VCs:
    max CPU time     : 0.03
    average CPU time : 0.04
invalid VCs:
    average CPU time : nan
    max CPU time     : 0.00
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
abs.c:10: warning: function abs2 has side-effects but no 'assigns' clause given
generating Why code for function abs1
generating Why code for function abs2
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/abs_why.sx           : *.... (4/1/0/0)
total           :   5
valid           :   4 ( 80%)
invalid         :   1 ( 20%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.21 sec
total CPU time       : 0.16 sec
valid VCs:
    max CPU time     : 0.03
    average CPU time : 0.03
invalid VCs:
    average CPU time : 0.04
    max CPU time     : 0.04
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
swap.c:3: warning: function swap has side-effects but no 'assigns' clause given
generating Why code for function swap
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/swap_why.sx          : ..... (5/0/0/0)
total           :   5
valid           :   5 (100%)
invalid         :   0 (  0%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.23 sec
total CPU time       : 0.18 sec
valid VCs:
    max CPU time     : 0.04
    average CPU time : 0.04
invalid VCs:
    average CPU time : nan
    max CPU time     : 0.00
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
generating Why code for function index
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/search_why.sx        : ..... (5/0/0/0)
total           :   5
valid           :   5 (100%)
invalid         :   0 (  0%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.31 sec
total CPU time       : 0.24 sec
valid VCs:
    max CPU time     : 0.05
    average CPU time : 0.06
invalid VCs:
    average CPU time : nan
    max CPU time     : 0.00
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
purse.c:69: warning: function test2 has side-effects but no 'assigns' clause given
generating Why code for function credit
generating Why code for function withdraw
generating Why code for function credit0
generating Why code for function withdraw0
generating Why code for function test1
generating Why code for function test2
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/purse_why.sx         : .............*.... (17/1/0/0)
total           :  18
valid           :  17 ( 94%)
invalid         :   1 (  6%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.81 sec
total CPU time       : 0.65 sec
valid VCs:
    max CPU time     : 0.03
    average CPU time : 0.05
invalid VCs:
    average CPU time : 0.08
    max CPU time     : 0.08
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[2]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[2]: Entering directory `/home/marche/why/examples-c/sorting'
for f in selection; do \
	  CADUCEUSLIB=/home/marche/why/examples-c/sorting/../../lib ../../bin/caduceus.opt $f.c; \
	  make -f $f.makefile simplify; \
	done
selection.c:25: warning: function selection has side-effects but no 'assigns' clause given
generating Why code for function selection
generating Why code for function swap
make[3]: Entering directory `/home/marche/why/examples-c/sorting'
why -simplify [...] why/selection.why
File "why/selection.why", line 13, characters 11-26:
Unbound exception 'Goto_init'
make[3]: *** [simplify/selection_why.sx] Error 1
make[3]: Leaving directory `/home/marche/why/examples-c/sorting'
make[2]: *** [simplify] Error 2
make[2]: Leaving directory `/home/marche/why/examples-c/sorting'
make[2]: Entering directory `/home/marche/why/examples-c/g4'
for f in g4; do \
	  CADUCEUSLIB=/home/marche/why/examples-c/g4/../../lib ../../bin/caduceus.opt $f.c; \
	  make -f $f.makefile simplify; \
	done
generating Why code for function main
make[3]: Entering directory `/home/marche/why/examples-c/g4'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/g4_why.sx            : .*****. (2/5/0/0)
total           :   7
valid           :   2 ( 29%)
invalid         :   5 ( 71%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.31 sec
total CPU time       : 0.20 sec
valid VCs:
    max CPU time     : 0.02
    average CPU time : 0.02
invalid VCs:
    average CPU time : 0.03
    max CPU time     : 0.04
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/g4'
make[2]: Leaving directory `/home/marche/why/examples-c/g4'
make[2]: Entering directory `/home/marche/why/examples-c/linked-lists'
for f in swap reverse; do \
	  CADUCEUSLIB=/home/marche/why/examples-c/linked-lists/../../lib ../../bin/caduceus.opt  $f.c; \
	  make -f $f.makefile simplify; \
	done
swap.c:7: warning: function swap has side-effects but no 'assigns' clause given
generating Why code for function swap
make[3]: Entering directory `/home/marche/why/examples-c/linked-lists'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/swap_why.sx          : .*.!* (2/2/0/0)
total           :   4
valid           :   2 ( 50%)
invalid         :   2 ( 50%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.26 sec
total CPU time       : 0.13 sec
valid VCs:
    max CPU time     : 0.03
    average CPU time : 0.04
invalid VCs:
    average CPU time : 0.03
    max CPU time     : 0.03
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/linked-lists'
reverse.c:9: warning: function rev has side-effects but no 'assigns' clause given
generating Why code for function rev
make[3]: Entering directory `/home/marche/why/examples-c/linked-lists'
Running Simplify on proof obligations
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/reverse_why.sx       : .*.*. (3/2/0/0)
total           :   5
valid           :   3 ( 60%)
invalid         :   2 ( 40%)
unknown         :   0 (  0%)
timeout/failure :   0 (  0%)
total wallclock time : 0.25 sec
total CPU time       : 0.16 sec
valid VCs:
    max CPU time     : 0.03
    average CPU time : 0.03
invalid VCs:
    average CPU time : 0.04
    max CPU time     : 0.04
unknown VCs:
    average CPU time : nan
    max CPU time     : 0.00
make[3]: Leaving directory `/home/marche/why/examples-c/linked-lists'
make[2]: Leaving directory `/home/marche/why/examples-c/linked-lists'
make[2]: Entering directory `/home/marche/why/examples-c/schorr-waite'
make[2]: Nothing to be done for `simplify'.
make[2]: Leaving directory `/home/marche/why/examples-c/schorr-waite'
make[1]: Leaving directory `/home/marche/why/examples-c'
